temp,rh,so2,no2,co,pm10,pm2.5,o3,day,dow,death_total
18.8,67,10.51309289,19.34782609,0.416743478,37.40384423,20.90869565,75.67214985,288,3,267
15,61,11.60855263,20.67039474,0.44699,40.22337824,24.24394737,56.625,289,4,263
17.4,67,9.146130952,36.63690476,0.476161905,43.30521587,29.22619048,57.42857143,290,5,263
19.5,71,18.23214286,40.17857143,0.873447619,69.38691415,52.18746867,76.85714286,291,6,258
20.4,76,13.16098485,28.03327922,0.524022727,48.77620821,34.41641202,84.44926472,292,7,295
19.6,73,14.86580479,43.36536561,0.535730435,57.78794984,35.98783487,89.25051228,293,1,266
18.1,65,10.34469697,22.53409091,0.528890909,63.7277408,46.27142857,97,294,2,270
18.4,67,11.09375,30.83854167,0.672095833,38.4101913,26.50723684,112.8571429,295,3,252
18.7,72,14.72927632,44.2125,0.646255,51.88292729,33.99210526,115.1428571,296,4,264
18,67,11.13586957,26.82608696,0.545356522,52.49462482,40.31561265,121.3333333,297,5,261
16,60,8.660573123,31.625,0.527052174,34.14453061,24.03043478,80.5,298,6,256
15.6,58,15.76785714,48.11309524,0.853261905,59.14771784,41.31904762,91.83333333,299,7,254
15.1,66,10.80979437,48.07323232,0.594340909,30.69121517,20.80675553,100.5,300,1,283
18.4,60,10.28571429,50.03943452,0.64047619,33.42141941,25.65625,101.1666667,301,2,303
19.3,78,18.47375541,50.01325758,0.820913636,75.09948529,57.80223665,83,302,3,289
19.4,82,11.99890351,30.91915761,0.544595833,43.16811577,42.88115942,98.14285714,303,4,294
18.8,75,12.83531746,36.68452381,0.562761905,70.64556373,51.57666667,107.5,304,5,251
18.9,79,21.76190476,38.76190476,0.691014286,93.82800862,66.29011905,103.4,305,6,343
19.4,88,17.57298137,34.70380435,0.857030435,91.1359533,56.84011858,95.2,306,7,320
19,83,16.25543478,41.95652174,0.7629,80.44663165,65.36521739,68,307,1,304
16.7,59,12.74327122,44.82756917,0.557686957,52.25907538,36.24492754,89.30527356,308,2,270
16,68,13.52272727,34.66420455,0.507954545,58.2849476,37.53337321,112.2,309,3,249
16.5,73,14.13933983,49.1758658,0.737454545,60.18589158,43.51966367,103.4,310,4,308
15.4,78,11.8423913,28.86956522,0.4415,32.60688271,20.44782609,101,311,5,297
18.4,77,9.281907895,27.18125,0.42698,37.46880117,21.51,129,312,6,262
22.7,76,13.3546725,29.36220591,0.533826087,51.45315476,35.28307736,94.20324774,313,7,292
16,82,17.30110992,38.54092374,0.559104762,75.97219629,52.79086605,57.5,314,1,318
13.7,60,17.1229097,48.40635452,0.806773913,66.53859477,44.71204013,77.33333333,315,2,265
13.9,63,31.1921875,44.8296875,1.047435,127.1898014,106.01375,66.16666667,316,3,275
14.7,61,13.74015152,31.98522727,0.719277273,87.09734569,80.49666667,75.83333333,317,4,302
13.6,82,11.92579051,28.59891304,0.509047826,55.79993412,41.8570844,19.5,318,5,303
12.2,76,11.24431818,27.91152597,0.53075,48.92616075,34.03229814,63.33333333,319,6,267
12.2,69,13.01358696,28.07453416,0.55286087,54.71474567,38.99365264,81.16666667,320,7,299
11.6,40,11.13928571,24.45947972,0.517614286,49.35035438,33.47666667,72.74162594,321,1,299
9.3,41,13.40203034,29.19695281,0.62826087,69.399082,45.30050725,53.28542594,322,2,307
8,52,13.50972127,31.12037248,0.512413636,38.75607817,16.0508658,44.83333333,323,3,303
9.6,68,11.63567013,35.12982462,0.529781423,45.35988818,21.12876964,64.83333333,324,4,330
13,70,9.929292929,27.86868687,0.534290909,25.16360879,16.86788676,113.1428571,325,5,317
14.7,79,9.419887279,18.97685185,0.443545833,35.35634058,16.199063,95.42857143,326,6,326
16.9,75,10.8705653,20.34389214,0.46156,30.52805556,14.37476608,105,327,7,324
16.1,83,11.75485009,30.58371624,0.563295238,47.85431495,29.8877193,40.71428571,328,1,360
10.2,58,13.7662037,28.74684343,0.49264375,41.80803571,20.01875,54,329,2,344
8.8,73,12.01111111,32.82328042,0.5515,36.336934,19.36285714,46.85714286,330,3,302
9.8,52,15.38380138,62.4953195,0.804380952,57.43169895,38.34761905,43.16666667,331,4,339
4.7,35,22.08366271,53.30390865,0.931534783,73.49858782,60.07924901,45.83333333,332,5,315
4.7,43,12.42010962,20.54931837,0.444827273,29.77839105,12.74241342,37.2,333,6,315
5.5,61,10.45507709,16.45606061,0.495365909,36.05480178,15.29545455,59.33333333,334,7,317
7.2,65,10.26818182,24.31659452,0.555927273,20.01849882,13.78772072,52.83333333,335,1,388
6.9,73,11.73480143,33.86059351,0.636921344,41.75725564,28.36363636,36.16666667,336,2,320
10.2,73,15.15131579,51.04761905,0.621633333,71.46707742,47.61971596,85.33333333,337,3,357
11.2,80,11.54329004,36.72159091,0.709013636,73.04453621,57.99545455,97.5,338,4,359
10.6,86,11.75945419,32.40570175,0.666157895,51.67094581,41.10666667,56.63760256,339,5,361
10,85,9.747335932,23.31759868,0.575677895,35.93344427,20.35973684,20.5,340,6,343
9.6,87,20.06144781,39.33143939,0.842245833,87.25525423,51.89921481,81.66666667,341,7,359
13.7,80,9.386568062,20.44545455,0.584783712,37.67437343,18.92295455,84.66666667,342,1,338
8.8,79,14.57748538,29.99557749,0.470669444,47.46474984,20.8194282,26,343,2,381
5,54,21.12854437,44.51352814,0.804453247,89.08989899,53.19336219,35.71428571,344,3,379
5.3,46,16.5034585,24.89772727,0.640779249,70.22842628,52.9571805,39,345,4,317
5.3,58,12.31965944,20.03490497,0.460604678,40.38971066,15.95873944,46.5,346,5,365
